long_fundid,double_gainaby,double_riskaby,long_hitcount
11019678,50.0,50.0,Null
11021377,50.0,50.0,Null
11019656,50.0,50.0,Null
11022461,50.0,50.0,Null
11018588,50.0,50.0,Null
11018587,50.0,50.0,Null
11022433,50.0,50.0,Null
11021312,50.0,50.0,Null
11022445,50.0,50.0,Null
11023181,50.0,50.0,Null
11020912,50.0,50.0,Null
11023183,50.0,50.0,Null
11018505,50.0,50.0,Null
11020929,50.0,50.0,Null
11020932,50.0,50.0,Null
11020933,50.0,50.0,Null
11020949,50.0,50.0,Null
11020946,50.0,50.0,Null
11020943,50.0,50.0,Null
11020940,50.0,50.0,Null
11020242,50.0,50.0,Null
11020243,50.0,50.0,Null
11018543,50.0,50.0,Null
11018545,50.0,50.0,Null
11020950,50.0,50.0,Null
11020245,50.0,50.0,Null
11020960,50.0,50.0,Null
11020973,50.0,50.0,Null
11020983,50.0,50.0,Null
11018534,50.0,50.0,Null
11020986,50.0,50.0,Null
11020985,50.0,50.0,Null
11020988,50.0,50.0,Null
11020207,50.0,50.0,Null
11020208,50.0,50.0,Null
11021298,50.0,50.0,Null
11021299,50.0,50.0,Null
11020905,50.0,50.0,Null
10848887,50.0,50.0,Null
10852305,50.0,50.0,Null
10891082,50.0,50.0,Null
12034477,50.0,50.0,Null
12034478,50.0,50.0,Null
12033344,50.0,50.0,Null
12034473,50.0,50.0,Null
12026429,50.0,50.0,Null
12034475,50.0,50.0,Null
12034481,50.0,50.0,Null
12034480,50.0,50.0,Null
12034483,50.0,50.0,Null
12034482,50.0,50.0,Null
12028878,50.0,50.0,Null
12028892,50.0,50.0,Null
12028893,50.0,50.0,Null
12034486,50.0,50.0,Null
12034484,50.0,50.0,Null
12028890,50.0,50.0,Null
12034485,50.0,50.0,Null
12028891,50.0,50.0,Null
12029544,50.0,50.0,Null
12029540,50.0,50.0,Null
12033328,50.0,50.0,Null
12026406,50.0,50.0,Null
12029538,50.0,50.0,Null
12029534,50.0,50.0,Null
